Location,TIMESTAMP,AirT_15cm_C,RH_15cm,SoilT5_C,SoilT10_C,VWC,Rain(in)
Quincy,6/18/2020 9:45,28.15633,65.20608,26.45999,25.28018,NAN,0
Quincy,6/18/2020 10:00,28.602,63.62794,26.88174,25.54837,NAN,0
Quincy,6/18/2020 10:15,28.52569,62.42678,27.28717,25.7865,NAN,0
Quincy,6/18/2020 10:30,29.79247,60.28392,27.68967,26.03229,NAN,0
Quincy,6/18/2020 10:45,29.99394,58.08154,28.21378,26.29791,NAN,0
Quincy,6/18/2020 11:00,30.17098,54.4338,28.69287,26.61847,NAN,0
Quincy,6/18/2020 11:15,31.31873,50.69906,29.22147,26.98825,NAN,0
Quincy,6/18/2020 11:30,31.27905,51.1142,29.87592,27.30954,NAN,0
Quincy,6/18/2020 11:45,31.72623,49.48568,30.46597,27.70789,NAN,0
Quincy,6/18/2020 12:00,32.13527,48.63861,31.16275,28.12146,NAN,0
Quincy,6/18/2020 12:15,31.88802,50.45486,31.7804,28.54117,NAN,0
Quincy,6/18/2020 12:30,32.26348,46.96737,32.35107,29.00787,NAN,0
Quincy,6/18/2020 12:45,32.19327,48.37152,32.95145,29.44165,NAN,0
Quincy,6/18/2020 13:00,29.3926,55.23203,32.86722,29.90991,NAN,0
Quincy,6/18/2020 13:15,32.15816,49.18806,32.50476,30.11789,NAN,0
Quincy,6/18/2020 13:30,33.00982,47.6145,33.05365,30.27939,NAN,0
Quincy,6/18/2020 13:45,32.27111,45.39075,33.57281,30.59747,NAN,0
Quincy,6/18/2020 14:00,32.72593,44.12243,33.88602,30.86511,NAN,0
Quincy,6/18/2020 14:15,33.50738,44.27048,34.31351,31.21649,NAN,0
Quincy,6/18/2020 14:30,33.03728,40.28238,34.73129,31.50906,NAN,0
Quincy,6/18/2020 14:45,33.18839,39.6673,35.19318,31.86697,NAN,0
Quincy,6/18/2020 15:00,33.2937,41.7018,35.52283,32.17078,NAN,0
Quincy,6/18/2020 15:15,31.81171,45.06413,35.77777,32.49811,NAN,0
Quincy,6/18/2020 15:30,30.18472,50.71279,35.1517,32.7446,NAN,0
Quincy,6/18/2020 15:45,32.24516,42.88464,34.72421,32.74625,NAN,0
Quincy,6/18/2020 16:00,33.1075,39.66425,35.09686,32.78232,NAN,0
Quincy,6/18/2020 16:15,33.04034,40.39838,35.4292,32.82431,NAN,0
Quincy,6/18/2020 16:30,33.70274,42.3413,35.77319,32.97086,NAN,0
Quincy,6/18/2020 16:45,32.8633,43.76224,35.95251,33.17572,NAN,0
Quincy,6/18/2020 17:00,31.19662,44.11938,35.80164,33.33057,NAN,0
Quincy,6/18/2020 17:15,32.46037,41.83305,35.47189,33.23434,NAN,0
Quincy,6/18/2020 17:30,31.46677,42.73049,35.26624,33.34509,NAN,0
Quincy,6/18/2020 17:45,32.15359,44.41853,35.18234,33.31097,NAN,0
